Title,Price,Location,tX,Area,ImageURL
Moradia independente na Rua Barão de São Roque,280.000€,"Caminha e Vilarelho, Caminha",T2,93,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/c3/8e/02/297020752.jpg
Moradia independente na Rua dos Poços,679.000€,"334, Moledo e Cristelo, Caminha",T4,199,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/52/75/88/293382928.jpg
Moradia independente na Rua das Andoreiras,950.000€,"Moledo e Cristelo, Caminha",T4,355,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/cc/fa/ab/284377548.jpg
Moradia independente na Rua do Salgueiral,490.000€,"Covas, Vila Nova de Cerveira",T4,443,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/d6/1e/b3/296750996.jpg
Apartamento T2 em Vila Praia de Âncora,162.500€,Caminha,T2,129,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/d2/86/bc/276163580.jpg
Apartamento T2 em Vila Praia de Âncora,179.000€,Caminha,T2,103,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/05/24/a4/296669640.jpg
Moradia independente em Lavradas,1.500.000€,Ponte da Barca,T5,708,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/3a/26/2d/280555649.jpg
Apartamento T3 em Darque,280.000€,Viana do Castelo,T3,124,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/72/10/22/296795437.jpg
Moradia independente em Sopo,650.000€,Vila Nova de Cerveira,T3,350,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/33/b5/85/298527663.jpg
Quinta em Paçô,490.000€,Arcos de Valdevez,T6,532,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/7c/dd/e2/285450420.jpg
Moradia independente em Parada,900.000€,Arcos de Valdevez,T3,452,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/04/88/4b/296848511.jpg
Moradia independente em Cerdal,575.000€,Valença,T8,924,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/04/65/a0/289797787.jpg
Quinta em Moledo e Cristelo,1.650.000€,Caminha,T9,890,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/76/2a/ce/291109219.jpg
Moradia independente em Caminha e Vilarelho,480.000€,Caminha,T5,352,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/a6/6b/61/295738002.jpg
Moradia independente em Geraz do Lima e Deão,372.000€,Viana do Castelo,T3,157,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/c6/35/c6/289717253.jpg
Quinta em Vila Franca,950.000€,Viana do Castelo,T9,746,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/ca/d7/4a/258181068.jpg
Apartamento T2 em Chafé,210.000€,Viana do Castelo,T2,108,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/6f/ba/93/295215107.jpg
Moradia independente em Cardielos e Serreleis,266.500€,Viana do Castelo,T3,241,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/76/79/08/280594312.jpg
Quinta em Cardielos e Serreleis,875.000€,Viana do Castelo,T4,1,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/b7/0e/4f/281056206.jpg
Moradia independente em Cristoval,998.000€,Melgaço,T5,468,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/df/ae/3b/287399612.jpg
Moradia independente em Castro Laboreiro,89.500€,Melgaço,T4,306,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/b9/ac/b5/267678966.jpg
Moradia independente em Mentrestido,320.000€,Vila Nova de Cerveira,T7,432,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/78/a4/50/286353422.jpg
Moradia independente em Vila Praia de Âncora,420.000€,Caminha,T4,120,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/c0/2b/bf/288604766.jpg
Apartamento T2 em Centro Histórico,280.000€,Viana do Castelo e Meadela,T2,81,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/c0/e5/6c/281055185.jpg
Moradia independente em Cardielos e Serreleis,300.000€,Viana do Castelo,T3,333,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/4d/b3/3e/295832881.jpg
Quinta na Rua das Costureiras,785.000€,"Barroselas e Carvoeiro, Viana do Castelo",T5,357,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/0e/83/f3/284689768.jpg
Moradia independente na Rua Souto de Abade,545.000€,"66, Mazarefes e Vila Fria, Viana do Castelo",T3,389,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/64/18/6f/293278710.jpg
Moradia independente na Rua da Bouça-Velha,1.950.000€,"Mentrestido, Vila Nova de Cerveira",T6,501,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/91/de/6f/284375628.jpg
Moradia independente na Rua 117,450.000€,"74, Castelo do Neiva, Viana do Castelo",T3,344,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/ff/55/b6/298430925.jpg
Moradia independente em Oliveira,599.000€,Arcos de Valdevez,T4,474,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/f0/7f/93/288129356.jpg
Moradia independente na Rua da Caravana,269.000€,"s/n, Cabração e Moreira do Lima, Ponte de Lima",T3,140,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/42/96/f5/281620604.jpg
Moradia independente na Rua da Seara,360.000€,"8, Seixas, Caminha",T3,404,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/d9/ae/06/287905524.jpg
Apartamento T2 na Avenida dos Combatentes da Grande Guerra,220.000€,"296, Centro Histórico, Viana do Castelo e Meadela",T2,49,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/e7/11/7c/298555568.jpg
Moradia independente na Rua Doutor Francisco Sá Carneiro,460.000€,"Arca e Ponte de Lima, Ponte de Lima",T4,156,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/4c/80/df/292578944.jpg
Moradia independente na Rua da Deveza do Vale,490.000€,"Fontão, Ponte de Lima",T4,528,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/ff/75/6c/235581234.jpg
Moradia em banda na Rua da Argaçosa,680.000€,"Meadela, Viana do Castelo e Meadela",T3,399,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/56/4b/b9/293482153.jpg
Moradia independente na Rua dos Pousados,285.000€,"Nogueira - Meixedo - Vilar de Murteda, Viana do Castelo",T3,105,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/f1/72/41/292530470.jpg
Apartamento T1 na Rua Pedro Homem de Melo,275.000€,"Centro Histórico, Viana do Castelo e Meadela",T1,58,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/12/90/4a/294501149.jpg
Apartamento T3 na Avenida do Colégio Português,180.000€,"Valença - Cristelo Covo - Arão, Valença",T3,107,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/d5/94/b3/290047276.jpg
Moradia independente em Venade e Azevedo,1.975.000€,Caminha,T6,390,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/bd/eb/88/289311765.jpg
Apartamento T3 na Rua da Boavista,249.500€,"Parada, Arcos de Valdevez",T3,197,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/52/81/ae/294251001.jpg
Moradia em Nogueira - Meixedo - Vilar de Murteda,229.750€,Viana do Castelo,T2,65,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/a3/66/c8/291365639.jpg
Apartamento T4 na Travessa 31 de Janeiro,225.000€,"59, Vila Praia de Âncora, Caminha",T4,180,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/ec/ff/18/288964538.jpg
Quinta em Correlhã,1.150.000€,Ponte de Lima,T6,1,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/16/52/3f/284460656.jpg
Moradia independente em Monserrate,876.900€,Viana do Castelo e Meadela,T4,442,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/b7/d6/14/284186777.jpg
Apartamento T0 no Largo Amadeu Costa,175.000€,"6, Centro Histórico, Viana do Castelo e Meadela",T0,28,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/3d/34/5c/295119608.jpg
Apartamento T0 no Largo Amadeu Costa,195.000€,"6, Centro Histórico, Viana do Castelo e Meadela",T0,37,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/a2/af/df/295119496.jpg
Apartamento T0 no Largo Amadeu Costa,190.000€,"6, Centro Histórico, Viana do Castelo e Meadela",T0,34,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/62/4c/3c/295119613.jpg
Moradia independente,175.000€,"Lugar do Cruzeiro, 4980-755, Touvedo, Touvedo (São Lourenço), Ponte da Barca",T3,225,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/3c/d3/4d/298481916.jpg
Moradia independente,389.000€,"Cm1346, Vila Chã (São João Batista), Ponte da Barca",T3,409,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/38/54/98/298437997.jpg
Apartamento T1 em Chafé,190.000€,Viana do Castelo,T1,39,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/f5/cb/dc/298097053.jpg
Moradia independente na Rua da Caravana,430.000€,"2, Cabração e Moreira do Lima, Ponte de Lima",T4,284,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/b8/90/bd/296642185.jpg
Moradia em banda na Rua Diogo Alves o Caramuru,650.000€,"s/n, Darque, Viana do Castelo",T3,272,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/64/29/05/255734327.jpg
Quinta na Rua de Massinos,600.000€,"s/n, Barroselas e Carvoeiro, Viana do Castelo",T4,138,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/bd/21/e6/291098987.jpg
Moradia independente na Rua da Caravana,430.000€,"s/n, Cabração e Moreira do Lima, Ponte de Lima",T4,285,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/4e/bc/f8/290697620.jpg
Moradia independente,350.000€,"N308, 1875, Ardegão - Freixo - Mato, Ponte de Lima",T5,377,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/4f/c5/94/290603238.jpg
Duplex na Rua Conde de Bertiandos,350.000€,"317, Arca e Ponte de Lima, Ponte de Lima",T3,176,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/ca/10/a1/279687688.jpg
Apartamento T3,225.000€,"Quinta da Pedra, 4, Vade (São Tomé), Ponte da Barca",T3,150,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/0b/ce/72/272829437.jpg
Moradia independente na Rua da Caravana,430.000€,"s/n, Cabração e Moreira do Lima, Ponte de Lima",T4,284,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/e1/7c/dc/294319487.jpg
Apartamento T2 na Rua Conde de Bertiandos,275.000€,"317, Arca e Ponte de Lima, Ponte de Lima",T2,174,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/ca/10/a1/279687688.jpg
Moradia independente na Rua da Capela de São Sebastião,420.000€,"s/n, Cabração e Moreira do Lima, Ponte de Lima",T4,450,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/5c/65/c3/291815835.jpg
Apartamento T3,220.000€,"Quinta da Pedra, 4, Vade (São Tomé), Ponte da Barca",T3,150,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/45/e4/91/272829447.jpg
Apartamento T3,225.000€,"Quinta da Pedra, 4, Vade (São Tomé), Ponte da Barca",T3,150,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/e7/61/42/272829414.jpg
Apartamento T2 na Rua Conde de Bertiandos,270.000€,"317, Arca e Ponte de Lima, Ponte de Lima",T2,177,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/ca/10/a1/279687688.jpg
Moradia independente na Rua de São Pedro de Rates,780.000€,"195, Vila Nova de Cerveira",T5,499,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/7e/e2/c9/291553960.jpg
Apartamento T2 em Chafé,245.000€,Viana do Castelo,T2,81,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/84/bc/7f/298097063.jpg
Moradia em Subportela - Deocriste - Portela Susã,385.000€,Viana do Castelo,T1,208,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/ed/f0/c7/290523790.jpg
Apartamento T3 em Vila Nova de Anha,295.000€,Viana do Castelo,T3,149,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/fb/4a/80/298354221.jpg
Apartamento T1 em Vila Nova de Anha,195.000€,Viana do Castelo,T1,71,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/ed/27/e7/298354185.jpg
Penthouse na Rua Júlio Envangelista,1.000.000€,"s/n, Meadela, Viana do Castelo e Meadela",T3,442,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/e5/05/52/283915295.jpg
Penthouse na Rua Júlio Envangelista,895.000€,"s/n, Meadela, Viana do Castelo e Meadela",T3,307,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/81/51/d0/283914454.jpg
Apartamento T2 em Vila Nova de Anha,285.000€,Viana do Castelo,T2,99,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/97/86/dc/298354203.jpg
Apartamento T2 na Rua General Norton de Matos,365.000€,"Arca e Ponte de Lima, Ponte de Lima",T2,156,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/80/7f/4a/290310247.jpg
Moradia independente na Rua da Boavista,350.000€,"Calheiros, Ponte de Lima",T4,294,https://img4.idealista.pt/blur/480_360_mq/0/id.pro.pt.image.master/9a/26/cc/286556977.jpg
